id,username,created_at,lng,lat,text
1518417094215299072,gobet34,Mon Apr 25 02:30:20 +0000 2022,-117.0226945,38.502147,@McFaul @SFFILM @CNN Watching now and WOW!!!
1518417094265774080,theeErrordome,Mon Apr 25 02:30:20 +0000 2022,-95.44648649999999,29.838495,say round; just say you still rocc with CP3 and quit playing both sides. I see you boi
1518417094378893312,Moose_PC,Mon Apr 25 02:30:20 +0000 2022,-112.12467649999999,33.5528625,I called the police numerous times to report injuries on my boys. They tell me they don't do anything about DCS. Th… https://t.co/5wxgwM2QtZ
1518417094529851395,birdsdad23,Mon Apr 25 02:30:20 +0000 2022,-111.54702900000001,39.499762000000004,@BleacherNation Angel needs to call it a career and go sale Cowboy Joe West memorabilia dolls
1518417094488072194,Dancher6982,Mon Apr 25 02:30:20 +0000 2022,-83.9841935,35.815867499999996,@amyprawd He's a beauty 😍
1518417094928658432,NotFadeAwayETH,Mon Apr 25 02:30:20 +0000 2022,-78.85356300000001,42.896229500000004,"@JohnBollman11 I can’t wait to see his report tomorrow, please post it if you end up with the link. Must be the most missed calls ever lol"
1518417094488043520,Emmy_Cule,Mon Apr 25 02:30:20 +0000 2022,-86.1429225,39.7795625,I knew she must have seen her dad abuse her mum #MenWithGame
1518417095955996672,_JustMason_,Mon Apr 25 02:30:21 +0000 2022,-85.6876845,38.1738735,Even tho I basically already am ya boy going full iso mode if it ain't business or damn near life or death i won't… https://t.co/tciVA3BhnT
1518417096660725761,KodakZach_,Mon Apr 25 02:30:21 +0000 2022,-86.27053950000001,45.001180000000005,@Yo_Bryc3n Good lookin gangland 💪🏾
1518417097998618625,JustJaySuggs,Mon Apr 25 02:30:21 +0000 2022,-86.1429225,39.7795625,@kingboola Exactly that’s why it’s everybody’s job to keep him focused
1518417096065044488,212NY,Mon Apr 25 02:30:21 +0000 2022,-73.9685415,40.780709,Smoky#NYC #sundayvibes #coned #colorful https://t.co/nAUvlgygfW
