id,username,created_at,lng,lat,text
1518426422003568641,matrix_model,Mon Apr 25 03:07:24 +0000 2022,6.1430255,46.204758,"#OnThisDay University of Helsinki, 2015-department of clinical pharmacology / yes I had pink hair https://t.co/0U0QMKDcUf"
1518426456665247745,cndiablo222,Mon Apr 25 03:07:32 +0000 2022,-1.014897,51.449484,God bless #Sunny #Chander #Isaak from #NHS they are my best friends now all I care about is recovering after… https://t.co/sXLLb9M5b1
1518426461610389504,timmsy_ks,Mon Apr 25 03:07:34 +0000 2022,-2.096208,53.6011235,You can't post this without some crackhead chirping in that if you book four years in advance for the 0615 on a Sun… https://t.co/yequWId5Qo
1518426500575510529,evgenidilov,Mon Apr 25 03:07:43 +0000 2022,-4.2417514999999995,55.85830249999999,boys will be boys #FNTourGlasgow https://t.co/Q1bOCXtdoh
1518426524445077505,erickgcastle,Mon Apr 25 03:07:49 +0000 2022,-4.2417514999999995,55.85830249999999,GOING HOME LFG I WANNA SEE MY CAT
1518426528769531904,SeanKea97761422,Mon Apr 25 03:07:50 +0000 2022,-2.2472365,53.0181555,@warrior19RN Gawjuss 👍😍😍
1518426541633507328,TheSamNorris,Mon Apr 25 03:07:53 +0000 2022,-0.21089449999999998,51.6118845,@JezzaD1972 @premrugby @owen_faz @Saracens @ExeterChiefs He’s the form 10 in the league but unfortunately rarely ge… https://t.co/DLGIQmloXr
1518426561812348929,sagapo69100,Mon Apr 25 03:07:57 +0000 2022,25.1293925,41.0703495,The House of Shadow-Ksanthi(iskece)/Greece https://t.co/LXUQts8TJf
1518426574990811136,HRHBMountbatten,Mon Apr 25 03:08:01 +0000 2022,5.974284,50.778126,3-5 ultime day i shift not more for nobody more ...
1518426583240953857,sajidgul1,Mon Apr 25 03:08:03 +0000 2022,-0.102162,51.5879015,@ImranRiazKhan Well done poraa baand hy lol  #امپورٹڈ_حکومت_نامنظور
1518426604602634243,obanj1,Mon Apr 25 03:08:08 +0000 2022,-0.017990000000000003,51.454107,@TheRealCEOAmber Split the 800 odds into halves and I won. It was 15 games so I did 8 games in one part and 7 games… https://t.co/XOEsY9SX3z
1518426625628676098,hardsell,Mon Apr 25 03:08:13 +0000 2022,2.1412275000000003,41.392657,Cant be too unhappy with thatWordle 310 4/6⬛⬛🟨⬛🟨🟨🟨⬛🟩⬛🟩⬛⬛🟩🟨🟩🟩🟩🟩🟩
1518426666871271425,evgenidilov,Mon Apr 25 03:08:23 +0000 2022,-4.2417514999999995,55.85830249999999,boys will be boys #FNTourGlasgow https://t.co/BPXUiFriUh
1518426701151318018,Arabwel,Mon Apr 25 03:08:31 +0000 2022,-6.2476215,53.354902499999994,@rinkside For a good reason!
1518426705261740032,wooliferkins,Mon Apr 25 03:08:32 +0000 2022,-1.4250895,51.5888575,Wordle 310 3/6⬜🟨⬜🟩🟨🟩🟩⬜🟩⬜🟩🟩🟩🟩🟩
1518426713247690752,KarenHewitt11,Mon Apr 25 03:08:34 +0000 2022,-4.200441,57.739454,@Leeanne009 @Killingeveandme @TacosAreTxsty @KillingEve @BBCAMERICA I just wanted answers about Carolyn and recieve… https://t.co/NIa6lWGOqB
1518426717639135234,naty_furacao,Mon Apr 25 03:08:35 +0000 2022,-8.621914,41.162142,@pic_poster Thanks
1518426782176788482,27Macalane,Mon Apr 25 03:08:50 +0000 2022,16.379845500000002,48.22012,@Imaginary_Ones Is this a fake? https://t.co/EJLuK3Pekv
